Master Seed,Membrane Seed,Input Seed,Input Sigma,Corrected,Minimum Input,Window Size,RP Offset,Correction Duration,Correction Current,Confidence Scaling,Recall Threshold,Memories Stored,Recalls,Mean Error,Final Position Error
9032867582,2390786556,6983476394,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.0971207175127132,0.069094358078622
9032867583,2390786557,6983476395,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1384618431299976,0.0251754285398187
9032867584,2390786558,6983476396,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1346742621746102,0.0025901990047984
9032867585,2390786559,6983476397,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1583397588693245,0.03396370157451
9032867586,2390786560,6983476398,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1250209823785375,0.0572039617953271
9032867587,2390786561,6983476399,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.114803332285347,0.0448458307947731
9032867588,2390786562,6983476400,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1265038838757203,0.0704403847687149
9032867589,2390786563,6983476401,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1526572142551586,0.0481553059609997
9032867590,2390786564,6983476402,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1211478639278858,0.0424626905319418
9032867591,2390786565,6983476403,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1390137076715551,0.0475701723090351
9032867592,2390786566,6983476404,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1336172146616189,0.058344902913328
9032867593,2390786567,6983476405,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1408273654998207,0.0306292872862595
9032867594,2390786568,6983476406,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1336439109418609,0.0544800579599895
9032867595,2390786569,6983476407,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1250708021501359,0.0412207552454851
9032867596,2390786570,6983476408,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1350295098917301,0.0527840846139879
9032867597,2390786571,6983476409,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1457170713272965,0.0200143784535947
9032867598,2390786572,6983476410,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1164879420594824,0.049492367594452
9032867599,2390786573,6983476411,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1386963590420994,0.0571248550625416
9032867600,2390786574,6983476412,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1541296418637238,0.0547239255282457
9032867601,2390786575,6983476413,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1584348140681335,0.0120935906970616
9032867602,2390786576,6983476414,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.123935339148303,0.0586056263846436
9032867603,2390786577,6983476415,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1508028288467222,0.0232689471668349
9032867604,2390786578,6983476416,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1342123661563526,0.0285562350668888
9032867605,2390786579,6983476417,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1110455303853441,0.033193833789386
9032867606,2390786580,6983476418,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1243865616757108,0.0395990869123985
9032867607,2390786581,6983476419,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1372389745756531,0.0394665182100367
9032867608,2390786582,6983476420,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1208984354459078,0.0481358602069833
9032867609,2390786583,6983476421,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1067046506225854,0.0655135288423756
9032867610,2390786584,6983476422,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1418585901398347,0.0285200104782704
9032867611,2390786585,6983476423,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1450267894566772,0.0193149043109388
9032867612,2390786586,6983476424,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1434324091430423,0.0169939212223529
9032867613,2390786587,6983476425,0.6035333489642621,True,2700,10,0,500.0,450.0,True,0.8,2,47,0.1311036425526046,1.756841416964633
